num,dyad,id,time,RM,party,timecontrast1_pre_post,timecontrast2_pre_followup,timecontrast3_post_pre,timecontrast4_post_followup,timecontrast5_followup_pre,timecontrast6_followup_post,IH,affiliation_C
162,548,184,3,6,1,0,1,0,1,0,0,4.5,0.218366667
163,554,517,1,1,-1,0,0,1,0,1,0,5,0.5517
164,554,517,2,2,-1,1,0,0,0,0,1,6.5,0.5517
165,554,517,3,3,-1,0,1,0,1,0,0, ,0.5517
166,554,505,1,4,1,0,0,1,0,1,0,6,0.3017
167,554,505,2,5,1,1,0,0,0,0,1,6,0.3017
168,554,505,3,6,1,0,1,0,1,0,0, ,0.3017
169,566,257,1,1,-1,0,0,1,0,1,0,5.5,-0.1983
170,566,257,2,2,-1,1,0,0,0,0,1,5,-0.1983
171,566,257,3,3,-1,0,1,0,1,0,0,6,-0.1983
172,566,910,1,4,1,0,0,1,0,1,0,6,0.3017
173,566,910,2,5,1,1,0,0,0,0,1,7,0.3017
174,566,910,3,6,1,0,1,0,1,0,0,7,0.3017
175,578,828,1,1,-1,0,0,1,0,1,0,7,0.5517
176,578,828,2,2,-1,1,0,0,0,0,1,7,0.5517
177,578,828,3,3,-1,0,1,0,1,0,0, ,0.5517
178,578,725,1,4,1,0,0,1,0,1,0,5.5,-0.9483
179,578,725,2,5,1,1,0,0,0,0,1,7,-0.9483
180,578,725,3,6,1,0,1,0,1,0,0, ,-0.9483
181,607,823,1,1,-1,0,0,1,0,1,0,4,0.3017
182,607,823,2,2,-1,1,0,0,0,0,1,5,0.3017
183,607,823,3,3,-1,0,1,0,1,0,0,6,0.3017
184,607,654,1,4,1,0,0,1,0,1,0,6,-0.4483
185,607,654,2,5,1,1,0,0,0,0,1,6,-0.4483
186,607,654,3,6,1,0,1,0,1,0,0,6,-0.4483
187,636,433,1,1,-1,0,0,1,0,1,0,5.5,0.5517
188,636,433,2,2,-1,1,0,0,0,0,1,6,0.5517
189,636,433,3,3,-1,0,1,0,1,0,0, ,0.5517
190,636,40,1,4,1,0,0,1,0,1,0,7,0.5517
191,636,40,2,5,1,1,0,0,0,0,1,6.5,0.5517
192,636,40,3,6,1,0,1,0,1,0,0, ,0.5517
193,638,201,1,1,-1,0,0,1,0,1,0,5.5,0.3017
194,638,201,2,2,-1,1,0,0,0,0,1,6,0.3017
195,638,201,3,3,-1,0,1,0,1,0,0,5.5,0.3017
196,638,532,1,4,1,0,0,1,0,1,0,5.5,-0.1983
197,638,532,2,5,1,1,0,0,0,0,1,6,-0.1983
198,638,532,3,6,1,0,1,0,1,0,0,5.5,-0.1983
199,671,870,1,1,-1,0,0,1,0,1,0,6,0.5517
200,671,870,2,2,-1,1,0,0,0,0,1,7,0.5517
201,671,870,3,3,-1,0,1,0,1,0,0,7,0.5517
202,671,27,1,4,1,0,0,1,0,1,0,5.5,0.0517
203,671,27,2,5,1,1,0,0,0,0,1,5,0.0517
204,671,27,3,6,1,0,1,0,1,0,0,5.5,0.0517
205,680,110,1,1,-1,0,0,1,0,1,0,6,-0.114966667
206,680,110,2,2,-1,1,0,0,0,0,1,6,-0.114966667
207,680,110,3,3,-1,0,1,0,1,0,0, ,-0.114966667
208,680,493,1,4,1,0,0,1,0,1,0,6,-0.1983
209,680,493,2,5,1,1,0,0,0,0,1,6.5,-0.1983
210,680,493,3,6,1,0,1,0,1,0,0, ,-0.1983
211,704,287,1,1,-1,0,0,1,0,1,0,6,-0.4483
212,704,287,2,2,-1,1,0,0,0,0,1,6.5,-0.4483
213,704,287,3,3,-1,0,1,0,1,0,0, ,-0.4483
214,704,253,1,4,1,0,0,1,0,1,0,5.5,-0.4483
215,704,253,2,5,1,1,0,0,0,0,1,5,-0.4483
216,704,253,3,6,1,0,1,0,1,0,0, ,-0.4483
217,709,802,1,1,-1,0,0,1,0,1,0,6.5,0.5517
218,709,802,2,2,-1,1,0,0,0,0,1,6,0.5517
219,709,802,3,3,-1,0,1,0,1,0,0, ,0.5517
220,709,731,1,4,1,0,0,1,0,1,0,6.5,0.5517
221,709,731,2,5,1,1,0,0,0,0,1,6.5,0.5517
222,709,731,3,6,1,0,1,0,1,0,0, ,0.5517
223,778,571,1,1,-1,0,0,1,0,1,0,5.5,0.5517
224,778,571,2,2,-1,1,0,0,0,0,1,5,0.5517
225,778,571,3,3,-1,0,1,0,1,0,0, ,0.5517
226,778,389,1,4,1,0,0,1,0,1,0,6.5,0.3017
227,778,389,2,5,1,1,0,0,0,0,1,7,0.3017
228,778,389,3,6,1,0,1,0,1,0,0, ,0.3017
229,828,832,1,1,-1,0,0,1,0,1,0,5.5,0.3017
230,828,832,2,2,-1,1,0,0,0,0,1,6,0.3017
231,828,832,3,3,-1,0,1,0,1,0,0,6,0.3017
232,828,509,1,4,1,0,0,1,0,1,0,4,0.5517
233,828,509,2,5,1,1,0,0,0,0,1,5.5,0.5517
234,828,509,3,6,1,0,1,0,1,0,0, ,0.5517
235,899,473,1,1,-1,0,0,1,0,1,0,5.5,-0.1983
236,899,473,2,2,-1,1,0,0,0,0,1,6,-0.1983
237,899,473,3,3,-1,0,1,0,1,0,0,6,-0.1983
238,899,198,1,4,1,0,0,1,0,1,0,6.5,0.3017
239,899,198,2,5,1,1,0,0,0,0,1,7,0.3017
240,899,198,3,6,1,0,1,0,1,0,0,7,0.3017
241,913,322,1,1,-1,0,0,1,0,1,0,6,0.5517
242,913,322,2,2,-1,1,0,0,0,0,1,6,0.5517
243,913,322,3,3,-1,0,1,0,1,0,0, ,0.5517
